iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=5,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=5,TP	Accuracy_SumError	Accuracy_SumWeight
65	50248	15496	15496	0	6947	0	0	7020	0	0	10992	0	0	7455	0	0	2338	0	15496	50248
66	50248	15503	15503	0	6954	0	0	7016	0	0	10986	0	0	7447	0	0	2342	0	15503	50248
67	50248	15503	15503	0	6948	0	0	7018	0	0	11021	0	0	7425	0	0	2333	0	15503	50248
68	50248	15500	15500	0	6962	0	0	7014	0	0	11019	0	0	7424	0	0	2329	0	15500	50248
69	50248	15510	15510	0	6962	0	0	7006	0	0	11022	0	0	7415	0	0	2333	0	15510	50248
70	50248	15520	15520	0	6956	0	0	7010	0	0	11025	0	0	7409	0	0	2328	0	15520	50248
71	50248	15517	15517	0	6969	0	0	7003	0	0	11039	0	0	7400	0	0	2320	0	15517	50248
72	50248	15514	15514	0	6973	0	0	7002	0	0	11043	0	0	7398	0	0	2318	0	15514	50248
73	50248	15528	15528	0	6971	0	0	6991	0	0	11055	0	0	7401	0	0	2302	0	15528	50248
74	50248	15537	15537	0	6972	0	0	6982	0	0	11041	0	0	7404	0	0	2312	0	15537	50248
75	50248	15532	15532	0	6971	0	0	6994	0	0	11052	0	0	7390	0	0	2309	0	15532	50248
76	50248	15538	15538	0	6954	0	0	7007	0	0	11055	0	0	7385	0	0	2309	0	15538	50248
77	50248	15541	15541	0	6966	0	0	6979	0	0	11057	0	0	7403	0	0	2302	0	15541	50248
78	50248	15541	15541	0	6973	0	0	6978	0	0	11057	0	0	7402	0	0	2297	0	15541	50248
79	50248	15543	15543	0	6970	0	0	6983	0	0	11069	0	0	7387	0	0	2296	0	15543	50248
80	50248	15556	15556	0	6952	0	0	6971	0	0	11093	0	0	7376	0	0	2300	0	15556	50248
81	50248	15560	15560	0	6951	0	0	6975	0	0	11105	0	0	7373	0	0	2284	0	15560	50248
82	50248	15565	15565	0	6952	0	0	6964	0	0	11112	0	0	7369	0	0	2286	0	15565	50248
83	50248	15575	15575	0	6950	0	0	6963	0	0	11114	0	0	7356	0	0	2290	0	15575	50248
84	50248	15587	15587	0	6944	0	0	6959	0	0	11120	0	0	7352	0	0	2286	0	15587	50248
85	50248	15598	15598	0	6944	0	0	6954	0	0	11114	0	0	7355	0	0	2283	0	15598	50248
86	50248	15591	15591	0	6950	0	0	6960	0	0	11124	0	0	7346	0	0	2277	0	15591	50248
87	50248	15595	15595	0	6948	0	0	6961	0	0	11135	0	0	7340	0	0	2269	0	15595	50248
88	50248	15600	15600	0	6942	0	0	6963	0	0	11130	0	0	7334	0	0	2279	0	15600	50248
89	50248	15598	15598	0	6953	0	0	6962	0	0	11133	0	0	7327	0	0	2275	0	15598	50248
90	50248	15596	15596	0	6963	0	0	6959	0	0	11144	0	0	7323	0	0	2263	0	15596	50248
91	50248	15596	15596	0	6959	0	0	6958	0	0	11149	0	0	7322	0	0	2264	0	15596	50248
92	50248	15602	15602	0	6965	0	0	6951	0	0	11156	0	0	7311	0	0	2263	0	15602	50248
93	50248	15605	15605	0	6956	0	0	6960	0	0	11153	0	0	7314	0	0	2260	0	15605	50248
94	50248	15608	15608	0	6968	0	0	6960	0	0	11160	0	0	7304	0	0	2248	0	15608	50248
95	50248	15602	15602	0	6971	0	0	6962	0	0	11162	0	0	7303	0	0	2248	0	15602	50248
96	50248	15598	15598	0	6972	0	0	6966	0	0	11163	0	0	7306	0	0	2243	0	15598	50248
97	50248	15604	15604	0	6962	0	0	6970	0	0	11163	0	0	7302	0	0	2247	0	15604	50248
98	50248	15602	15602	0	6983	0	0	6959	0	0	11171	0	0	7293	0	0	2240	0	15602	50248
99	50248	15602	15602	0	7005	0	0	6943	0	0	11173	0	0	7300	0	0	2225	0	15602	50248
100	50248	15610	15610	0	7008	0	0	6931	0	0	11173	0	0	7305	0	0	2221	0	15610	50248
101	50248	15623	15623	0	6997	0	0	6947	0	0	11177	0	0	7289	0	0	2215	0	15623	50248
102	50248	15629	15629	0	6988	0	0	6948	0	0	11190	0	0	7282	0	0	2211	0	15629	50248
103	50248	15624	15624	0	7000	0	0	6941	0	0	11191	0	0	7285	0	0	2207	0	15624	50248
104	50248	15628	15628	0	6981	0	0	6956	0	0	11198	0	0	7277	0	0	2208	0	15628	50248
105	50248	15628	15628	0	6988	0	0	6957	0	0	11199	0	0	7276	0	0	2200	0	15628	50248
106	50248	15633	15633	0	6982	0	0	6951	0	0	11196	0	0	7283	0	0	2203	0	15633	50248
107	50248	15639	15639	0	6977	0	0	6959	0	0	11200	0	0	7281	0	0	2192	0	15639	50248
108	50248	15647	15647	0	6973	0	0	6961	0	0	11195	0	0	7279	0	0	2193	0	15647	50248
109	50248	15646	15646	0	6985	0	0	6963	0	0	11193	0	0	7276	0	0	2185	0	15646	50248
110	50248	15646	15646	0	6990	0	0	6969	0	0	11192	0	0	7269	0	0	2182	0	15646	50248
111	50248	15655	15655	0	6980	0	0	6964	0	0	11192	0	0	7272	0	0	2185	0	15655	50248
112	50248	15662	15662	0	6970	0	0	6956	0	0	11205	0	0	7277	0	0	2178	0	15662	50248
113	50248	15664	15664	0	6968	0	0	6956	0	0	11204	0	0	7288	0	0	2168	0	15664	50248
114	50248	15668	15668	0	6964	0	0	6951	0	0	11205	0	0	7286	0	0	2174	0	15668	50248
115	50248	15675	15675	0	6956	0	0	6960	0	0	11206	0	0	7278	0	0	2173	0	15675	50248
116	50248	15684	15684	0	6960	0	0	6942	0	0	11210	0	0	7285	0	0	2167	0	15684	50248
117	50248	15697	15697	0	6957	0	0	6942	0	0	11211	0	0	7285	0	0	2156	0	15697	50248
118	50248	15691	15691	0	6965	0	0	6939	0	0	11214	0	0	7290	0	0	2149	0	15691	50248
119	50248	15693	15693	0	6956	0	0	6947	0	0	11214	0	0	7288	0	0	2150	0	15693	50248
120	50248	15706	15706	0	6955	0	0	6951	0	0	11228	0	0	7274	0	0	2134	0	15706	50248
121	50248	15710	15710	0	6962	0	0	6942	0	0	11237	0	0	7270	0	0	2127	0	15710	50248
122	50248	15721	15721	0	6955	0	0	6953	0	0	11241	0	0	7259	0	0	2119	0	15721	50248
123	50248	15720	15720	0	6965	0	0	6945	0	0	11240	0	0	7255	0	0	2123	0	15720	50248
124	50248	15730	15730	0	6961	0	0	6937	0	0	11246	0	0	7257	0	0	2117	0	15730	50248
125	50248	15732	15732	0	6971	0	0	6933	0	0	11242	0	0	7260	0	0	2110	0	15732	50248
126	50248	15734	15734	0	6978	0	0	6931	0	0	11243	0	0	7255	0	0	2107	0	15734	50248
127	50248	15737	15737	0	6975	0	0	6929	0	0	11244	0	0	7249	0	0	2114	0	15737	50248
128	50248	15741	15741	0	6968	0	0	6923	0	0	11248	0	0	7250	0	0	2118	0	15741	50248
129	50248	15743	15743	0	6968	0	0	6926	0	0	11252	0	0	7248	0	0	2111	0	15743	50248
130	50248	15747	15747	0	6979	0	0	6917	0	0	11260	0	0	7247	0	0	2098	0	15747	50248
131	50248	15749	15749	0	6977	0	0	6912	0	0	11260	0	0	7245	0	0	2105	0	15749	50248
132	50248	15756	15756	0	6979	0	0	6906	0	0	11257	0	0	7248	0	0	2102	0	15756	50248
133	50248	15751	15751	0	6980	0	0	6899	0	0	11256	0	0	7245	0	0	2117	0	15751	50248
134	50248	15762	15762	0	6980	0	0	6895	0	0	11255	0	0	7242	0	0	2114	0	15762	50248
135	50248	15761	15761	0	6976	0	0	6897	0	0	11261	0	0	7239	0	0	2114	0	15761	50248
